id,season,team1,team2,winner
335982,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
335983,2007/08,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
335984,2007/08,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
335985,2007/08,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
335986,2007/08,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
335987,2007/08,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
335988,2007/08,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
335989,2007/08,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
335990,2007/08,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
335991,2007/08,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
335992,2007/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
335993,2007/08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
335994,2007/08,Mumbai Indians,Deccan Chargers,Deccan Chargers
335995,2007/08,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
335996,2007/08,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
335997,2007/08,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
335998,2007/08,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
335999,2007/08,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
336000,2007/08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
336001,2007/08,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
336003,2007/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
336034,2007/08,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
336004,2007/08,Mumbai Indians,Delhi Daredevils,Mumbai Indians
336005,2007/08,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
336006,2007/08,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
336007,2007/08,Chennai Super Kings,Deccan Chargers,Deccan Chargers
